,Name,state,summit_elev,vertical_drop,fastEight,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
1,Eaglecrest Ski Area,Alaska,2600,1540,0.0,0,0,0,4,0,4,36.0,1.0,2.0,640.0,60.0,45.0,44.0,350.0,47.0,53.0,90.0,57.91695652173913,0
2,Hilltop Ski Area,Alaska,2090,294,0.0,0,0,1,0,2,3,13.0,1.0,1.0,30.0,30.0,150.0,36.0,69.0,30.0,34.0,152.0,30.0,2
4,Sunrise Park Resort,Arizona,11100,1800,57.91695652173913,1,2,3,1,0,7,65.0,2.0,1.2,800.0,80.0,115.0,49.0,250.0,74.0,78.0,104.0,80.0,1
5,Yosemite Ski & Snowboard Area,California,7800,600,0.0,0,0,1,3,1,5,10.0,2.0,0.4,88.0,57.91695652173913,110.0,84.0,300.0,47.0,47.0,107.0,57.91695652173913,1
9,Dodge Ridge,California,8200,1600,0.0,0,1,2,5,4,12,67.0,5.0,2.0,862.0,57.91695652173913,57.91695652173913,69.0,350.0,78.0,78.0,140.0,57.91695652173913,1
10,Donner Ski Ranch,California,8012,750,0.0,0,0,1,5,2,8,52.0,2.0,1.5,505.0,60.0,163.0,82.0,400.0,75.0,75.0,170.0,57.91695652173913,1
12,June Mountain,California,10090,2590,57.91695652173913,2,0,0,4,1,7,41.0,2.0,2.0,1500.0,57.91695652173913,57.91695652173913,58.0,250.0,57.91695652173913,57.91695652173913,128.0,57.91695652173913,1
15,Mt. Shasta Ski Park,California,6890,1435,57.91695652173913,0,0,3,0,1,4,32.0,2.0,1.1,425.0,225.0,140.0,34.0,300.0,49.0,59.0,130.0,57.91695652173913,1
16,Mountain High,California,8200,1600,57.91695652173913,2,2,2,5,3,14,59.0,1.0,1.6,290.0,275.0,118.0,95.0,108.0,84.0,84.0,150.0,73.0,1
20,Ski China Peak,California,8709,1679,0.0,0,1,4,2,4,11,45.0,1.0,2.2,1400.0,150.0,140.0,62.0,300.0,83.0,83.0,144.0,57.91695652173913,1
25,Tahoe Donner,California,7350,600,0.0,0,1,1,0,3,5,14.0,2.0,1.0,120.0,57.91695652173913,150.0,48.0,400.0,69.0,69.0,144.0,57.91695652173913,1
37,Monarch Mountain,Colorado,11952,1162,0.0,0,1,0,4,2,7,64.0,2.0,1.0,800.0,57.91695652173913,143.0,80.0,350.0,89.0,89.0,136.0,57.91695652173913,1
